SampleName,SampleLocationName,Top_cm,Bottom_cm,layerthickness_cm,BD_measurement_cm,BulkDensity_gcm3,%C,%N,C/N,stdev%C,stdev%N,stdevC/N,X,Y,depth_mid_cm,C_frac,N_frac,C_stock_kg_m2,N_stock_kg_m2,effective_thickness_cm,thickness_ratio,C_stock_trunc_kg_m2,N_stock_trunc_kg_m2
TL47 NPF-1 23-33cm,TL47 NPF-1,23.0,33.0,10.0,28.0,0.9083333333333332,1.09,0.091,12.03,0.47,0.06,0.4,443032.1486,7206635.717,28.0,0.0109,0.00091,0.9900833333333332,0.08265833333333333,10.0,1.0,0.9900833333333332,0.08265833333333333
TL47 NPF-1 33-46 cm,TL47 NPF-1,33.0,46.0,13.0,39.5,1.0875,3.02,0.24,12.62,0.47,0.06,0.4,443032.1486,7206635.717,39.5,0.0302,0.0024,4.269525,0.33929999999999993,13.0,1.0,4.269525,0.33929999999999993
TL47 NPF-1 46-82cm,TL47 NPF-1,46.0,82.0,36.0,64.0,1.306,3.78,0.271,13.93,0.47,0.06,0.4,443032.1486,7206635.717,64.0,0.0378,0.00271,17.772048,1.2741336,4.0,0.1111111111111111,1.974672,0.1415704
TL47 NPF-10 0-20cm,TL47 NPF-10,0.0,20.0,20.0,10.0,0.55,10.78,0.53,20.35,0.79,0.23,0.97,442764.7193,7206602.935,10.0,0.10779999999999999,0.0053,11.858,0.5830000000000001,20.0,1.0,11.858,0.5830000000000001
TL47 NPF-10 20-52 cm,TL47 NPF-10,20.0,52.0,32.0,36.0,1.0875,1.41,0.129,10.96,0.79,0.23,0.97,442764.7193,7206602.935,36.0,0.0141,0.0012900000000000001,4.9068,0.44892,30.0,0.9375,4.600124999999999,0.4208625
TL47 NPF-11 0-10cm,TL47 NPF-11,0.0,10.0,10.0,5.0,0.55,9.14,0.447,20.44,0.79,0.23,0.97,442280.8113	7206507.473,,5.0,0.09140000000000001,0.00447,5.027000000000001,0.24585,10.0,1.0,5.027000000000001,0.24585
TL47 NPF-11 10-30cm,TL47 NPF-11,10.0,30.0,20.0,20.0,1.0875,2.34,0.159,14.71,0.79,0.23,0.97,442280.811,7206507.47,20.0,0.023399999999999997,0.00159,5.089499999999999,0.34582500000000005,20.0,1.0,5.089499999999999,0.34582500000000005
TL47 NPF-11 30-70cm,TL47 NPF-11,30.0,70.0,40.0,50.0,1.306,1.27,0.1,12.65,0.79,0.23,0.97,442280.811,7206507.47,50.0,0.0127,0.001,6.634479999999999,0.5224,20.0,0.5,3.3172399999999995,0.2612
TL47 NPF-6 0-17cm,TL47 NPF-6,0.0,17.0,17.0,8.5,0.55,6.19,0.342,18.07,0.79,0.23,0.97,442558.0278,7206537.794,8.5,0.061900000000000004,0.0034200000000000003,5.787650000000001,0.31977000000000005,17.0,1.0,5.787650000000001,0.31977000000000005
TL47 NPF-6 17-40cm,TL47 NPF-6,17.0,40.0,12.0,28.5,0.9656695,1.45,0.097,14.91,0.47,0.06,0.4,442558.0278,7206537.794,28.5,0.014499999999999999,0.00097,1.6802649299999999,0.1124039298,23.0,1.9166666666666667,3.2205077825,0.21544086545
